Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
2/1/2024,1027,Canon PIXMA TR4520,8,799.92
2/1/2024,1016,Apple Watch Series 6,3,1197
2/1/2024,1030,JBL Flip 5,12,1439.4
2/1/2024,1008,LG C1 OLED,2,3598
2/1/2024,1039,Asus RT-AX88U,10,2490
2/2/2024,1025,HP OfficeJet Pro 9015,5,1149.95
2/2/2024,1012,Apple AirPods Pro,8,1992
2/2/2024,1023,Dell Inspiron,3,2699.97
2/2/2024,1020,Canon EOS R5,2,6998
2/2/2024,1010,Sony WH-1000XM4,5,1749.95
2/2/2024,1031,Bose Lifestyle 650,3,11997
2/3/2024,1025,HP OfficeJet Pro 9015,8,1839.92
2/3/2024,1033,Sony HT-Z9F,4,3596
2/3/2024,1001,Apple iPhone 12,6,5394
2/3/2024,1037,Google Nest Wifi,10,1690
2/3/2024,1029,Bose SoundLink Revolve,7,1253
2/3/2024,1023,Dell Inspiron,2,1799.98
2/3/2024,1034,Sony PlayStation 5,3,1499.97
2/4/2024,1034,Sony PlayStation 5,3,1499.97
2/4/2024,1025,HP OfficeJet Pro 9015,5,1149.95
2/4/2024,1036,Nintendo Switch,2,599.98
2/4/2024,1012,Apple AirPods Pro,4,996
2/4/2024,1023,Dell Inspiron,3,2699.97
2/4/2024,1001,Apple iPhone 12,3,2697
2/4/2024,1020,Canon EOS R5,2,6998
2/5/2024,1036,Nintendo Switch,5,1499.95
2/5/2024,1012,Apple AirPods Pro,4,996
2/5/2024,1023,Dell Inspiron,3,2699.97
2/5/2024,1034,Sony PlayStation 5,3,1499.97
2/5/2024,1025,HP OfficeJet Pro 9015,5,1149.95
2/5/2024,1036,Nintendo Switch,2,599.98
2/5/2024,1012,Apple AirPods Pro,4,996
2/5/2024,1023,Dell Inspiron,3,2699.97
2/5/2024,1011,Bose QuietComfort 35 II,6,1794
2/6/2024,1006,MacBook Pro,2,2998
2/6/2024,1003,Google Pixel 5,2,1398
2/6/2024,1014,Samsung Galaxy Tab S7,3,1949.97
2/7/2024,1038,Netgear Nighthawk AX12,1,299.99
2/7/2024,1021,Nikon Z6,2,3599.98
2/7/2024,1017,Samsung Galaxy Watch 3,4,1399.96
2/7/2024,1039,Asus RT-AX88U,3,747
2/7/2024,1005,HP Spectre x360,2,2399.98
2/7/2024,1019,Sony Alpha a7 III,3,5997
2/7/2024,1020,Canon EOS R5,1,3499
2/8/2024,1015,Microsoft Surface Pro 7,4,3596
2/8/2024,1007,Samsung QLED Q90T,2,3999.98
2/8/2024,1018,Fitbit Versa 3,3,689.85
2/8/2024,1013,Apple iPad Pro,2,1598
2/8/2024,1001,Apple iPhone 12,3,2697
2/8/2024,1002,Samsung Galaxy S21,2,1599.98
2/8/2024,1003,Google Pixel 5,4,2796
2/9/2024,1004,Dell XPS 13,1,1299
2/9/2024,1006,MacBook Pro,2,2998
2/9/2024,1008,LG C1 OLED,3,5397
2/9/2024,1010,Sony WH-1000XM4,1,349.99
2/10/2024,1001,Apple iPhone 12,3,2697
2/10/2024,1002,Samsung Galaxy S21,2,1599.98
2/11/2024,1004,Dell XPS 13,1,1299
2/11/2024,1005,HP Spectre x360,2,2399.98
2/12/2024,1006,MacBook Pro,2,2998
2/12/2024,1007,Samsung QLED Q90T,3,5999.97
2/13/2024,1001,Apple iPhone 12,2,1798
2/13/2024,1002,Samsung Galaxy S21,3,2399.97
2/13/2024,1004,Dell XPS 13,1,1299
2/13/2024,1005,HP Spectre x360,2,2399.98
2/13/2024,1006,MacBook Pro,2,2998
2/13/2024,1007,Samsung QLED Q90T,1,1799.99
2/13/2024,1008,LG C1 OLED,3,5397
2/13/2024,1047,Lenovo Legion 5,2,2598
2/13/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
2/13/2024,1049,Acer Swift 3,3,2097
2/14/2024,1011,Bose QuietComfort 35 II,2,598
2/14/2024,1036,Nintendo Switch,1,299.99
2/14/2024,1020,Canon EOS R5,3,10497
2/14/2024,1019,Sony Alpha a7 III,2,3998
2/14/2024,1038,Netgear Nighthawk AX12,1,299.99
2/14/2024,1040,Western Digital My Passport,4,319.96
2/14/2024,1010,Sony WH-1000XM4,2,699.98
2/15/2024,1044,Sony Xperia 1 III,4,4396
2/15/2024,1045,OnePlus 9 Pro,2,1799.98
2/15/2024,1046,Xiaomi Mi 11 Ultra,3,3597
2/16/2024,1047,Lenovo Legion 5,2,2598
2/16/2024,1048,ASUS ROG Zephyrus G14,1,1499.99
2/16/2024,1049,Acer Swift 3,3,2097
2/16/2024,1044,Sony Xperia 1 III,4,4396
2/16/2024,1045,OnePlus 9 Pro,2,1799.98
2/16/2024,1046,Xiaomi Mi 11 Ultra,3,3597
2/16/2024,1016,Apple Watch Series 6,1,399
2/16/2024,1001,Apple iPhone 12,2,1798
2/16/2024,1002,Samsung Galaxy S21,3,2399.97
2/16/2024,1003,Google Pixel 5,1,699
2/17/2024,1020,Canon EOS R5,2,6998
2/17/2024,1019,Sony Alpha a7 III,3,5997
2/17/2024,1038,Netgear Nighthawk AX12,1,299.99
2/17/2024,1034,Sony PlayStation 5,2,999.98
2/17/2024,1035,Microsoft Xbox Series X,1,499
2/17/2024,1036,Nintendo Switch,3,899.97
2/17/2024,1037,Google Nest Wifi,2,338
2/18/2024,1005,HP Spectre x360,2,2399.98
2/18/2024,1006,MacBook Pro,1,1499
2/18/2024,1012,Apple AirPods Pro,3,747
2/18/2024,1021,Nikon Z6,2,3599.98
2/18/2024,1039,Asus RT-AX88U,1,249
2/18/2024,1040,Western Digital My Passport,4,319.96
2/18/2024,1041,Seagate Backup Plus Slim,2,179.98
2/18/2024,1042,Samsung T5 Portable SSD,3,389.97
2/19/2024,1001,Apple iPhone 12,2,1798
2/19/2024,1002,Samsung Galaxy S21,3,2399.97
2/19/2024,1003,Google Pixel 5,1,699
2/19/2024,1007,Samsung QLED Q90T,2,3999.98
2/19/2024,1010,Sony WH-1000XM4,1,349.99
2/19/2024,1013,Apple iPad Pro,3,2397
2/19/2024,1014,Samsung Galaxy Tab S7,2,1299.98
2/19/2024,1015,Microsoft Surface Pro 7,1,899
2/19/2024,1017,Samsung Galaxy Watch 3,3,1049.97
2/20/2024,1001,Apple iPhone 12,3,2697
2/20/2024,1002,Samsung Galaxy S21,2,1599.98
2/20/2024,1003,Google Pixel 5,1,699
2/20/2024,1006,MacBook Pro,1,1499
2/20/2024,1010,Sony WH-1000XM4,2,699.98
