Date,Product ID,Product Name,Units Sold,Total Revenue (USD)
3/1/2024,1027,Canon PIXMA TR4520,8,799.92
3/1/2024,1016,Apple Watch Series 6,3,1197
3/1/2024,1030,JBL Flip 5,12,1439.4
3/2/2024,1008,LG C1 OLED,2,3598
3/2/2024,1039,Asus RT-AX88U,10,2490
3/2/2024,1025,HP OfficeJet Pro 9015,5,1149.95
3/2/2024,1012,Apple AirPods Pro,8,1992
3/2/2024,1023,Dell Inspiron,3,2699.97
3/3/2024,1020,Canon EOS R5,2,6998
3/3/2024,1010,Sony WH-1000XM4,5,1749.95
3/3/2024,1031,Bose Lifestyle 650,3,11997
3/3/2024,1025,HP OfficeJet Pro 9015,8,1839.92
3/3/2024,1033,Sony HT-Z9F,4,3596
3/3/2024,1001,Apple iPhone 12,6,5394
3/3/2024,1037,Google Nest Wifi,10,1690
3/3/2024,1029,Bose SoundLink Revolve,7,1253
3/3/2024,1023,Dell Inspiron,2,1799.98
3/3/2024,1034,Sony PlayStation 5,3,1499.97
3/4/2024,1034,Sony PlayStation 5,3,1499.97
3/4/2024,1025,HP OfficeJet Pro 9015,5,1149.95
3/4/2024,1036,Nintendo Switch,2,599.98
3/4/2024,1012,Apple AirPods Pro,4,996
3/4/2024,1023,Dell Inspiron,3,2699.97
3/5/2024,1001,Apple iPhone 12,3,2697
3/5/2024,1020,Canon EOS R5,2,6998
3/5/2024,1036,Nintendo Switch,5,1499.95
3/5/2024,1012,Apple AirPods Pro,4,996
3/5/2024,1023,Dell Inspiron,3,2699.97
3/6/2024,1034,Sony PlayStation 5,3,1499.97
3/6/2024,1025,HP OfficeJet Pro 9015,5,1149.95
3/6/2024,1036,Nintendo Switch,2,599.98
3/6/2024,1012,Apple AirPods Pro,4,996
3/6/2024,1023,Dell Inspiron,3,2699.97
3/6/2024,1011,Bose QuietComfort 35 II,6,1794
3/6/2024,1006,MacBook Pro,2,2998
3/7/2024,1003,Google Pixel 5,2,1398
3/7/2024,1014,Samsung Galaxy Tab S7,3,1949.97
3/7/2024,1038,Netgear Nighthawk AX12,1,299.99
3/8/2024,1021,Nikon Z6,2,3599.98
3/8/2024,1017,Samsung Galaxy Watch 3,4,1399.96
3/8/2024,1039,Asus RT-AX88U,3,747
3/9/2024,1005,HP Spectre x360,2,2399.98
3/9/2024,1019,Sony Alpha a7 III,3,5997
3/9/2024,1020,Canon EOS R5,1,3499
3/9/2024,1015,Microsoft Surface Pro 7,4,3596
3/9/2024,1007,Samsung QLED Q90T,2,3999.98
